StateWellID,Latitude,Longitude,WellDepth,Rainfall,Elevation,Tmin,claytotal_l,awc_l,pi_r,ph_r,Fluoride_avg,Exceedance
2412302,33.8475,-102.5325,89,451.2852809,1104,6.59812417,8,0.090000004,8,8.100000381,1.58,0
2405201,33.996945,-102.425278,180,458.1724553,1110,6.37169734,8,0.109999999,8,8.199999809,1.04,0
2416103,33.851112,-102.110556,200,467.8228179,1048,7.31084964,10,0.119999997,10,7.5,1.5,0
2408701,33.898056,-102.099445,220,468.2245352,1056,7.18373697,28,0.100000001,32,8.199999809,1.83,0
1046502,34.310278,-102.305556,300,466.2450899,1132,5.81943174,22,0.100000001,21,8.399999619,1.68,0
1046604,34.303889,-102.290834,315,465.7178587,1130,5.85170822,22,0.100000001,21,8.399999619,1.86,0
1046605,34.299722,-102.291667,308,465.601634,1130,5.85593042,22,0.100000001,21,8.399999619,1.88,0
1053312,34.239722,-102.410001,232,463.3503496,1131,5.83360211,22,0.100000001,21,8.399999619,1.25,0
1055605,34.175555,-102.133889,340,463.5137151,1096,6.41021319,22,0.100000001,21,8.399999619,1.485,0
1056403,34.168889,-102.101389,340,463.9734857,1089,6.4890448,22,0.100000001,21,8.399999619,2.28,1
1063702,34.013612,-102.223333,235,462.4343895,1087,6.59104453,22,0.100000001,21,8.399999619,1.2,0
2408101,33.963889,-102.101667,280,467.5289708,1064,6.98767816,22,0.100000001,21,8.399999619,1.5,0
2405701,33.904167,-102.460278,54,456.0373604,1082,6.74489516,3,0.050000001,4,7.599999905,6.255,1
2413301,33.840834,-102.392222,118,457.6735309,1070,6.98743831,3,0.050000001,4,7.599999905,2.38,1
1054207,34.233334,-102.308056,220,464.1258553,1124,5.95005174,8,0.100000001,10,8,1.57,0
1054208,34.2325,-102.310278,319,464.1086052,1124,5.94795989,8,0.100000001,10,8,0.86,0
1062503,34.053612,-102.322222,160,461.1276555,1103,6.33775876,10,0.100000001,4.5,7.5,2.98,1
1052804,34.1555556,-102.5791667,205,457.329478,1150,5.67711413,4,0.109999999,5,7.400000095,0.65,0
1052820,34.150556,-102.563056,171,457.2680863,1147,5.72691254,4,0.109999999,5,7.400000095,0.95,0
1054803,34.141667,-102.307778,315,462.6866022,1111,6.14234062,4,0.109999999,5,7.400000095,1.67,0
1062203,34.117778,-102.296667,298,462.5326231,1108,6.20499363,4,0.109999999,5,7.400000095,2.076666667,1
1062209,34.107778,-102.296667,297,462.4045409,1107,6.22601198,4,0.109999999,5,7.400000095,1.923333333,0
1063102,34.090556,-102.222778,326,463.2459888,1096,6.40393485,4,0.109999999,5,7.400000095,1.93,0
2404301,33.966667,-102.536667,150,451.5294396,1127,6.2302224,10,0.109999999,9,8,2.23,1
2407606,33.928055,-102.158056,240,464.4614529,1069,6.9908994,10,0.109999999,9,8,1.49,0
657906,35.0241667,-101.895,160,480.6954928,1097,6.33990997,18,0.07,20,8.399999619,3.57,1
764301,35.117222,-102.028333,253,476.2219717,1142,5.84293216,18,0.07,20,8.399999619,3.080647059,1
764303,35.083611,-102.010278,280,478.5739832,1131,5.97594463,18,0.07,20,8.399999619,3.63975,1
